A look at how we‰Ûªre democratizing game development with our PlayFab platform https://t.co/InOTS46zSd
RT @BradSmi: The people who work for us are critical to Microsoft‰Ûªs success. That‰Ûªs why we are extending paid parental leave to the individ‰Û_
RT @BradSmi: It‰Ûªs clear that we all need to do more to help protect democracies from cyberthreats. That‰Ûªs why we are expanding our Defendin‰Û_
"RT @peteratmsr: Making health data interoperable will make all of us healthier. @Microsoft is pleased to join Amazon, Google, and others to‰Û_"
"RT @MSFT_Military: Enabling and enhancing the ability to provide the best care and service to #Veterans, @MICROSOFT and @DeptVetAffairs are‰Û_"
Together with @JDASoftware and @GirishRishiJDA we'll empower more customers to digitally transform their supply cha‰Û_ https://t.co/IaN6GYGuzw
It was a pleasure to sit down with Olympic snowboarding gold medalist @ChloeKim. Learn how she turns obstacles into‰Û_ https://t.co/M2DxrzKhxR
"Banneker High School students Mikayla Sharrieff, Bria Snell and India Skinner are well on their way to changing the‰Û_ https://t.co/wJE9lysGA6"
"@amcauce Well said, @amcauce Thank you for joining us at Microsoft to share your views and experiences in this important conversation."
@TinaBrownLM @FordFoundation @darrenwalker @amcauce @UW @ArlanWasHere @Backstage_Cap @6Gems @BlackGirlsCode Thank y‰Û_ https://t.co/JqHgxY0uEM
@ArlanWasHere @Microsoft @6Gems @amcauce @TinaBrownLM @darrenwalker @Backstage_Cap Thanks for visiting us at Micros‰Û_ https://t.co/a9dPPQxLpB
"Computer science education should be accessible to young people of all backgrounds, which is why we're partnering w‰Û_ https://t.co/7TedqfJONj"
"We want to ensure capital is available more broadly in society, and that must include more women entrepreneurs. Tod‰Û_ https://t.co/NnDNVEPndS"
"@ChloeKim @Microsoft Thanks for joining us at Imagine Cup today, @ChloeKim - your story and lessons learned on and‰Û_ https://t.co/6k78dBdlL7"
"Congratulations to the 2018 Imagine Cup World Champions, team smartARM of Canada, and to every team who participate‰Û_ https://t.co/ZdAwp8vohr"
How the Xbox Adaptive Controller is making gaming more accessible ‰ÛÒ starting with the packaging. https://t.co/NJd048fmYB
Thanks for joining our Hackathon @JussieSmollett - excited to see the impact of the team's #HackforAfrica project! https://t.co/UEdyNKCLji
The inside story of two hackathon teams and how what started as hack projects became two products that have empower‰Û_ https://t.co/pvA21xB4CF
Thrilled to partner with the Walmart team to accelerate their digital transformation. Together we will empower mill‰Û_ https://t.co/eBNHvG2hkq
RT @guardian: How Minecraft is helping kids fall in love with books https://t.co/s5HlihuqG7
"Announcing new updates to Microsoft Teamshttps://t.co/msCG71HnXC"
"RT @surface: Ready. Set. Go! Meet the all new Surface Go. For travel, home, family‰Û_for you. https://t.co/Y5YBfeUAoK"
RT @BradSmi: Andy is a world-class runner and one of our valued employees at the @Microsoft cafÌ©. Good luck this week Andy! We're rooting f‰Û_
"Announcing Microsoft Healthcare, a new initiative with a visionary team, as we work to harness the power of health‰Û_ https://t.co/q11Vlch3o2"
Combining the power of Microsoft Azure with InMobi‰Ûªs marketing platforms to deliver new intelligent customer experi‰Û_ https://t.co/kBw5WiOA9H
Patrick Winter was a visionary leader and force of nature in our industry. My deepest condolences to his family and‰Û_ https://t.co/4zovQJRw5Q
"Each year, Imagine Cup shows what‰Ûªs possible when students come together to apply technology to help solve the worl‰Û_ https://t.co/XG2ezzSDqk"
My views on U.S. immigration policy https://t.co/AZ84yWhFmR
"It was great speaking with Carlos Ghosn, Chairman and CEO of the Renault-Nissan-Mitsubishi Alliance, about his lead‰Û_ https://t.co/rOIhK0zoNY"
Thrilled to welcome @Flipgrid to Microsoft! https://t.co/qdQH5LYkQM
RT @BradSmi: Father's Day is a day we shouldn't take for granted - it's a special day set aside for families to be together. And given the‰Û_
"An inspiring example of how technology can truly empower everyone. With tools like the Immersive Reader, millions o‰Û_ https://t.co/EfYvrxdtfB"
RT @XboxWire: Relive all the exciting moments from yesterday‰Ûªs Xbox E3 Briefing here on Xbox Wire. https://t.co/PprjYWqRHa #E32018
"RT @Microsoft: This week at Computex, we gave a preview of what's possible in the new computing era of the intelligent edge. https://t.co/V‰Û_"
"RT @peteratmsr: As the fog clears off the northern Scottish coast, Microsoft's Project Natick enters a new #research phase operating on the‰Û_"
Microsoft + GitHub = Empowering Developers https://t.co/KqLacgODdk
Proud of all our employees who support and advocate for equal rights and inclusion as we celebrate #Pride2018 https://t.co/e5lY6wfsyf
RT @chriscapossela: Inspiring couple of days @Microsoft‰Ûªs Ability Summit this week! We're discussing the importance of putting #Inclusion a‰Û_
"@EmmanuelMacron Thank you for hosting us at #TechforGood, inspired by our conversation and your vision for how tech‰Û_ https://t.co/Xpw7PGUmPo"
RT @BradSmi: We've awarded 112 #AIforEarth grants in 27 countries. It‰Ûªs great to see this momentum building around AI &amp; its potential to so‰Û_
@EmmanuelMacron Honored to join the #TechforGood Summit with @EmmanuelMacron. Collectively we have a responsibility‰Û_ https://t.co/by6oXRokN6
"As we celebrate Global Accessibility Awareness Day, today we announced the Xbox Adaptive Controller, which will mak‰Û_ https://t.co/DuNvTf7ZnM"
"RT @panos_panay: Meet Surface Hub 2. A new generation, purpose built for dynamic collaboration. #SurfaceHub2 https://t.co/TlDZl7xaZQ"
"It was fantastic to meet the youngest #MSBuild attendees this week, 14-year-old Ruby Cogan and sisters Disa and Ann‰Û_ https://t.co/q57lEQ4m8K"
RT @MicrosoftEDU: Happy #TeacherAppreciationDay to all our education heroes around the world. Make sure to stop and #ThankaTeacher today! h‰Û_
Opportunity and responsibility in the era of the Intelligent Cloud and Intelligent Edge https://t.co/I3KTW0c1Ri
RT @Microsoft: We believe technology can empower everyone to achieve more. #MSBuild #AIForAccessibility https://t.co/THKz9z8mVG
RT @Qualcomm: Learn how we‰Ûªre joining forces with @Microsoft to help developers bring advanced #AI to #IoT devices. _ÙÒá #MSBuild
RT @DJIEnterprise: #DJI and @Microsoft have announced a strategic partnership to bring advanced AI and machine learning capabilities to #DJ‰Û_
See you here at 8:30 PT tomorrow morning #MSBuild https://t.co/HxoB9eC69P https://t.co/5SECcbIla9
"Mikayla, India and Bria, I‰Ûªm inspired by you and the ingenuity of your project. We‰Ûªd love to welcome you to Microso‰Û_ https://t.co/QiLCkLbxpe"
RT @yusuf_i_mehdi: Time is our most precious commodity. Get more of it with the new Windows 10 Update. Free download starts April 30th.  #W‰Û_
"RT @BradSmi: The attacks from the past year demonstrate that cybersecurity is not just about what any single company can do alone, but what‰Û_"
"Security underpins our approach to the intelligent cloud and intelligent edge. Announcing Azure Sphere, designed to‰Û_ https://t.co/9vMG7sj8ia"
RT @BradSmi: We are in the business of creating software to help our customers digitally transform. That's why we've announced Shared Innov‰Û_
We‰Ûªre investing $5 billion in IoT to help customers in every industry digitally transform with connected solutions‰Û_ https://t.co/oHxPG8dmws
Burton Smith was a true visionary and pioneer in supercomputing. His enthusiasm for asking the big questions and do‰Û_ https://t.co/gZimgEXdh4
"On behalf of all of Microsoft, our hearts are with everyone at YouTube and Google today and all those affected. https://t.co/dijMxGXGpD"
Inclusive teams that value diverse perspectives and inclusive design principles will have the deepest impact in bui‰Û_ https://t.co/B94ihrmEFR
"@tmyerson @Microsoft @BillGates @Steven_Ballmer Terry, I‰Ûªve had deep admiration and respect for you and your work s‰Û_ https://t.co/QKvOkzhK5a"
Linda Brown and her family showed courage and strength in taking a stand against injustice. She will forever have a‰Û_ https://t.co/Y6aiSNX2af
"News for our Dynamics 365 and Business Applications platform to empower organizations' digital transformation, and‰Û_ https://t.co/R67wqtQkHb"
RT @TechCrunch: Teacher in Ghana who used blackboard to explain computers gets some Microsoft love https://t.co/mM3fIlXiVr https://t.co/FV1‰Û_
"Expanding our cloud services in Europe and the Middle East. We‰Ûªre focused on delivering a comprehensive, intelligen‰Û_ https://t.co/UmXaqAKcI7"
We lost a great one today. Stephen Hawking will be remembered for his incredible contributions to science ‰ÛÒ making‰Û_ https://t.co/V8jikPcRKY
We‰Ûªre excited to see how customers like General Motors are making Microsoft Teams their hub for teamwork and today‰Û_ https://t.co/2TUrVPgyo8
"A look at what‰Ûªs coming to the next Windows 10 update for developers to build AI apps and experiences, modernize th‰Û_ https://t.co/tQOjCEPMPd"
Today we celebrate the incredible contributions of women around the world and press for progress to create more equ‰Û_ https://t.co/vmHlbWnJUy
"We have the most trusted, comprehensive cloud for government that more than 10 million government users rely on. To‰Û_ https://t.co/zE7cdSy37S"
RT @akipman: Such cool innovation from @RenaultSportF1.  Love their use of #HoloLens and #MixedReality https://t.co/uBtTTrJ9iW
RT @BradSmi: Young people need to learn the right skills to thrive in the digital economy. Hats off to @codeorg for helping 85 million peop‰Û_
"A look at how AI and the cloud are empowering health providers, researchers and clinicians to improve patient care‰Û_ https://t.co/4c5SZJVJ0j"
We can learn so much from others‰Ûª stories. Powerful set of videos from Microsoft employees who are recognizing Blac‰Û_ https://t.co/xnwpoezSRU
It‰Ûªs always amazing to see what Surface users around the world have been inspired to create. Congrats to the team o‰Û_ https://t.co/ary3vkBHs2
"RT @Microsoft: Microsoft Build returns to Seattle May 7-9, 2018. Developers, join us as we explore the future of technology. #MSBuild https‰Û_"
"RT @OfficeNews: Resume Assistant in Microsoft Word, powered by @LinkedIn, is now generally available. Learn more: https://t.co/XZCC1RFQM0 h‰Û_"
RT @BradSmi: A better internet starts with all of us. Our latest research helps us better understand online abuse and how we can all promot‰Û_
When cricket and mixed reality meet ‰ÛÒ very cool experience for cricket fans from Avanade and HoloLens! https://t.co/uecnvBcZlD
RT @scottgu: Great to see InfoWorld recognizing Azure Cosmos DB - 2018 Technology of the Year: https://t.co/09pVpUG3GE
"From robotics to aviation to performance arts and gaming, it‰Ûªs incredible to see how this group of creators is reim‰Û_ https://t.co/aRw7yLQNYi"
Jameela Roland‰Ûªs story is inspiring and shows the value investment in training programs can have in helping people‰Û_ https://t.co/3jTxt23MrD
Many of our best ideas &amp; innovations have started as a rough sketch on a napkin or scrap of paper. We‰Ûªre applying A‰Û_ https://t.co/BMBdevaxrf
RT @SU2C: An exciting #SU2C research update! These 7 new teams will help accelerate progress in cancer #immunotherapy research. In collabor‰Û_
"Thrilled to partner with Publicis Groupe to build Marcel, an AI platform that will empower their 80,000 employees a‰Û_ https://t.co/LxsjFzS5iV"
"RT @harryshum: This is important research ‰ÛÒ by 2030, the fastest-growing occupations will require higher-level cognitive skills in areas su‰Û_"
@JustinTrudeau Appreciated the opportunity to discuss tech opportunities and our shared optimism for the impact of AI with you.
"RT @MSFTnews: How does a global company connect employees? See how the maker of the iconic brands Oreo and Cadbury, @MDLZ, uses #Yammer to‰Û_"
"RT @yusuf_i_mehdi: Our passion and commitment to empower students continues with new #Windows10 devices, #Office365 Learning Tools, a Chemi‰Û_"
"RT @PeggyJ: Having a legal proof of identity is an essential tool, which nearly 1 in 6 people live without. @Microsoft + @ID2020 announce n‰Û_"
RT @geekwire: Microsoft apps to be embedded into edtech powerhouse PowerSchool‰Ûªs ‰Û÷Unified Classroom‰Ûª https://t.co/8hhy2vbNzu
"RT @BradSmi: As we realize the promise of #AI, it‰Ûªs important that we also address the challenges it presents. We hope our new book can con‰Û_"
"RT @MSFTResearch: In a major #MachineReading milestone, Microsoft creates an #AI that reads a document and answers questions about it as we‰Û_"
"Today we celebrate Dr. Martin Luther King Jr.‰Ûªs legacy and honor his enduring message of equality, opportunity, and‰Û_ https://t.co/H4fLz1jnxP"
RT @BradSmi: Reforms are critical to address the decades long green card backlog &amp; ensure the immigration process is fair for those who con‰Û_
@msftsecresponse @intel Security is our top priority and we are committed to working with others across the industr‰Û_ https://t.co/SipRuUYLta
RT @tmyerson: This year at #CES2018 I‰Ûªm inspired by how our @MicrosoftOEM partners are unlocking creativity &amp; pioneering a new culture of w‰Û_
"RT @MSFTResearch: #CRISPR, a gene editing ‰ÛÏnano-sized sewing kit‰Ûù, gets an accuracy lift thanks to a new #AI tool from Microsoft @nfusi @jl‰Û_"
RT @BradSmi: We‰Ûªve updated A Cloud for Global Good ‰ÛÒ a set of policy recommendations designed to ensure everyone benefits equally from #tec‰Û_
"Yesterday marked the opening of the Microsoft Software &amp; Systems Academy at Quantico, to help equip transitioning m‰Û_ https://t.co/6Qo4kCCsE3"
Working with @johnsoncontrols on a new type of smart thermostat with Cortana ‰ÛÒ spanning the intelligent cloud and t‰Û_ https://t.co/a50C21WuDd
Artificial Intelligence represents one of technology‰Ûªs most important priorities and healthcare is perhaps AI‰Ûªs mos‰Û_ https://t.co/Q2GahzYu8Z
The people and projects that inspired me in 2017 https://t.co/wCLXJWughy
"RT @BradSmi: Our thoughts are with the passengers, first responders and all those impacted by today‰Ûªs tragic train derailment in our commun‰Û_"
"RT @saqibs: Seeing AI 2.0 now available - recognize currency, handwriting, colors and detect light. Now available in 35 countries. Plus mor‰Û_"
"RT @MSFTResearch: ‰ÛÏAs the first generation to live with #AI, we play a unique role in shaping the future and helping every person be part o‰Û_"
Quantum computing has the potential to help solve the world‰Ûªs toughest challenges. Today we‰Ûªre making quantum compu‰Û_ https://t.co/CFupU0oapR
Applying AI to help researchers and organizations address our most pressing and complex environmental challenges‰Û_ https://t.co/s4t2GmGZyE
RT @Microsoft: Create a better world. https://t.co/Rc3wuLaGgB https://t.co/Low78PNYhO
"RT @LorraineBardeen: When it comes to #mixedreality, it's all about 3D content pipelines.  Thank you to our great team Simplygon! https://t‰Û_"
"RT @peteratmsr: On the @Azure Catapult FPGA deployment program, @Microsoft's Andrew Putnam says: ""What we really need to be doing is dividi‰Û_"
"RT @PeggyJ: For me ‰ÛÒ and for too many young women, young people of color, young people period ‰ÛÒ the overriding factor on the path to a STEM‰Û_"
"RT @tmyerson: It was great introducing Always Connected PCs today with @Qualcomm, @ASUS, @HP and @lenovo at #SnapdragonSummit. I‰Ûªve been us‰Û_"
It‰Ûªs an exciting time to be working in AI. Proud of our researchers doing important work to increase transparency a‰Û_ https://t.co/jOG21PBNtu
"Thank you to the educators &amp; students who participated in the #skypeathon ‰ÛÒ traveling 14,512,448 virtual miles! We‰Ûª‰Û_ https://t.co/gZjkcto3MJ"
Partnering with @TomTom to offer @Azure Location Based Services ‰ÛÒ using the power of the cloud and IoT to connect s‰Û_ https://t.co/VzhXB9rJts
